milk,url
egg,https://base.imgix.net/files/base/ebm/wto/image/2020/07/selective_focus_photo_of_three_eggs_on_tray_600615_Photo_by_Monserrat_Soldu_from_Pexels.5f0c91011f32b.png?auto=format&dpr=2&w=720
butter,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcT80rvFL1NvmQQ8LIYLaFHdOYYSZ0FP2kvQ9Q&usqp=CAU
ice_cream,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTFmvTGQA9qqIUXPklqUyQ3f7Kf7GKJOi74fA&usqp=CAU
cheese,https://www.culturesforhealth.com/learn/wp-content/uploads/2016/05/homemade-parmesan-cheese-recipe_header-300x300.jpg
yogurt,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2018/10/22/0/FNK_INSTANT-POT-YOGURT-H-s4x3.jpg.rend.hgtvcom.826.620.suffix/1540214003587.jpeg
cream,https://betterthanbreadketo.com/wp-content/uploads/2020/01/Keto-Whipped-Cream_4-scaled.webp
lettuce,https://specialtyproduce.com/sppics/588.png
mushroom,https://www.thespruceeats.com/thmb/IgO1311qn7qWmWGwtk3_qFO8TiA=/2124x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-186473156-565bc8235f9b5835e470217a.jpg
onion,https://www.foodqualityandsafety.com/wp-content/uploads/2018/08/FQU_eUpdate_0925_onions.jpg
beans,https://gbc-cdn-public-media.azureedge.net/img83268.1426x713.jpg
broccolini,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,c_fit,w_1460,h_1825/k%2Farchive%2F9fe7642f98f85120ca3a109d5f098e616a60e3f2"
potato,http://www.isaaa.org/kc/cropbiotechupdate/files/images/1232019105233PM.jpg
carrot,https://hgtvhome.sndimg.com/content/dam/images/hgtv/fullset/2018/4/25/3/shutterstock_440493100_5-second-Studio_carrots.jpg.rend.hgtvcom.616.411.suffix/1524688181811.jpeg
garlic,https://www.thespruceeats.com/thmb/srxCn6WK_ND3k783MGTNDPQMv60=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/close-up-of-garlic-on-table-760254411-5bcbf91c4cedfd0026f2b89d.jpg
tomato,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2013/5/13/0/FN_tomatoes-thinkstock_s4x3.jpg.rend.hgtvcom.616.462.suffix/1371616351150.jpeg
ginger,https://imageresizer.static9.net.au/3woSvTlUX4TF9eP9ZH1UwZEup1w=/1274x717/smart/https%3A%2F%2Fprod.static9.net.au%2F_%2Fmedia%2FNetwork%2FImages%2F2018%2F08%2F10%2F13%2F54%2Fgingerrootcoach.jpg
spinach,https://i.ndtvimg.com/i/2016-11/spinach_620x350_81477995047.jpg
cucumber,https://freshpoint.com/wp-content/uploads/2020/02/freshpoint-english-cucumber-scaled.jpg
cabbage,https://www.thespruceeats.com/thmb/BzeoSVcOgY-m9ozVLn6eJanOGJU=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Headsofgreencabbage-5bfda38346e0fb00264606e3.jpg
corn,https://image.sciencenordic.com/1440035.jpg?imageId=1440035&width=1058&height=604
olive,https://uploads-ssl.webflow.com/5cf62806c6188329a4fafe4b/5cf62806c61883599ffaff44_green_edit.jpg
pumpkin,https://www.liveeatlearn.com/wp-content/uploads/2015/10/pumpkin-photo-1.jpg.webp
lemon,https://i.ndtvimg.com/mt/cooks/2014-11/lemon.jpg
peach,https://www.gardeningknowhow.com/wp-content/uploads/2018/09/white-peach-1024x712.jpg
avocado,https://www.bbcgoodfood.com/sites/default/files/guide/guide-image/2017/01/avocado.jpg
apple,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/apples-royalty-free-image-164084111-1537885595.jpg?crop=0.66667xw:1xh;center,top&resize=980:*"
banana,https://cosmosmagazine.com/wp-content/uploads/2020/02/190902_banannas_full.jpg
lime,https://universityhealthnews.com/media/benefits-of-lime.jpg
strawberry,https://hips.hearstapps.com/clv.h-cdn.co/assets/15/22/2560x1728/gallery-1432664914-strawberry-facts1.jpg?resize=768:*
orange,https://cdn.britannica.com/s:700x500/24/174524-050-A851D3F2/Oranges.jpg
pineapple,https://www.czarnikow.com/wp-content/uploads/2019/09/pineapple-web-sizing.png
blueberry,https://www.supermarketperimeter.com/ext/resources/0430-blueberries.png?1588260305
coconut,https://3vnqw32fta3x1ysij926ljs3-wpengine.netdna-ssl.com/wp-content/uploads/2011/07/Coconuts.jpg
grape,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Table_grapes_on_white.jpg/440px-Table_grapes_on_white.jpg
mango,https://calories-info.com/site/assets/files/1173/mango.650x0.jpg
pear,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2012/11/27/0/HEW_Pears_s4x3.jpg.rend.hgtvcom.616.462.suffix/1371612039080.jpeg
watermelon,https://thrivemeetings.com/wp-content/uploads/2016/06/iStock_67194635_LARGE.jpg
salmon,https://www.colormyfood.com/wp/wp-content/uploads/2016/03/Depositphotos_89364274_l-2015-845x321.jpg
bacon,https://www.thespruceeats.com/thmb/9dAnm5iPg3XEwUeuhqX81xOYlzE=/3150x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/oven-cooked-bacon-428357-Ingredients-5baa5f62c9e77c00502b6f2e.jpg
chicken,https://www.theladders.com/wp-content/uploads/chicken_190503-1000x563.jpg
turkey,https://www.insurancejournal.com/app/uploads/2019/11/raw-turkey.jpg
beef,https://s3.envato.com/files/262150208/Beef%20Raw%20meat.jpg
sausage,https://www.daringgourmet.com/wp-content/uploads/2019/06/Cheddarwurst-7-edited.jpg
ham,https://www.thespruceeats.com/thmb/ey3XXXLLIPa03zaxEC1f2wEIbOM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/swedish-christmas-ham-recipe-julskinka-2952633-hero-7f76ae7363e3415d85000c6925772572.jpg
pork,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/gettyimages-1125158333.jpg?resize=980:*
chicken_leg,https://www.seriouseats.com/images/2014/04/20140403-knife-skills-deboning-chicken-thigh-01.jpg
chicken_wings,https://buythermopro.com/wp-content/uploads/2019/01/raw-chicken-wings.jpg
lamb,https://cdn.powered-by-nitrosell.com/product_images/26/6349/mp030705.jpg
duck,https://br-tomassen.com/wp-content/uploads/2017/12/duck-head-off-1024x877.jpg
tuna,https://www.foodsafetynews.com/files/2019/04/rawtuna_1000x565.jpg
trout,https://images.creativemarket.com/0.1.0/ps/4994651/910/608/m2/fpnw/wm1/tqy3bdd7yethjyermbajiuvtfukpeebytei2zynpkinoli0ryfri2ddwuofaotpx-.jpg?1535991987&s=e0bf5ef154418321b1f7a115a1a06c78
shrimp,https://s3.amazonaws.com/cdn.legalseafoods.com/images/large/RawShrimp_102717.jpg
spaghetti,https://images.creativemarket.com/0.1.0/ps/2857958/910/606/m2/fpnw/wm1/giyawdrhbos4qgk9gdxgg1kwfnhvggwa9qbew17nub0oyijbgpvav5od2vuv0b6y-.jpg?1497695763&s=f766bb98249e5465e40e3a5ef3ee245b
rice,https://cdn.medimetry.com/production/wp-content/uploads/2016/01/08172031/rice-810x450.jpg
flour,https://qph.fs.quoracdn.net/main-qimg-d29594cfdc3b17d078c8d7723145a04f.webp
bread,http://deviliciouslyraw.com/wp-content/uploads/2015/09/bruschetta_3_of_1_201509141504176721.jpg
oats,https://ndnr.com/wp-content/uploads/2010/01/38374126_ml.jpg
noodle,http://www.takepart.com/sites/default/files/styles/large/public/164925579.jpg
ramen,http://smithsonianapa.org/picklesandtea/wp-content/uploads/sites/14/2014/09/ramen.jpg
cereal,https://imageresizer.static9.net.au/Bn169RCHIurLc_s9AQDhWghUXR4=/1274x717/smart/https%3A%2F%2Fprod.static9.net.au%2F_%2Fmedia%2FNetwork%2FImages%2F2017%2F07%2F11%2F14%2F06%2F170711coach_cereal.jpg
baking_soda,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F23%2F2016%2F10%2F10%2Fbaking-soda-vs-baking-powder-what-is-baking-soda.jpg
baking_powder,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F23%2F2016%2F10%2F10%2Fbaking-soda-vs-baking-powder-what-is-baking-powder.jpg